   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365, 58.0000, 40.8100,255.2400,    10,        275.062686,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.126162,          4.182879,          0.041888,          0.691503,          0.406906,          2.277563,          0.022257,         10.796177,
     1,     1,   365, 59.0000, 40.8100,255.2400,    10,        274.106208,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.075999,          4.134025,          0.047634,          0.698195,          0.413615,          2.308683,          0.040291,         11.065671,
     1,     1,   365, 60.0000, 40.8100,255.2400,    10,        274.559365,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.128147,          4.172998,          0.044271,          0.704736,          0.420189,          2.347221,          0.019448,         11.206855,
     1,     1,   365, 61.0000, 40.8100,255.2400,    10,        272.791419,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.105174,          4.169529,          0.048851,          0.711449,          0.426714,          2.381424,          0.035277,         11.457446,
     1,     1,   365, 62.0000, 40.8100,255.2400,    10,        271.874161,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.108258,          4.187418,          0.048705,          0.717530,          0.433177,          2.422909,          0.038933,         11.706267,
     1,     1,   365, 63.0000, 40.8100,255.2400,    10,        271.589888,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.127536,          4.190375,          0.051238,          0.721273,          0.439533,          2.464909,          0.021504,         11.967447,
     1,     1,   365, 64.0000, 40.8100,255.2400,    10,        271.239356,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.093606,          4.156286,          0.055018,          0.726758,          0.445821,          2.503907,          0.041655,         12.307608,
     1,     1,   365, 65.0000, 40.8100,255.2400,    10,        270.006156,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.119413,          4.184943,          0.051817,          0.732271,          0.451994,          2.549575,          0.039518,         12.574281,
     1,     1,   365, 66.0000, 40.8100,255.2400,    10,        275.302215,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.115707,          4.180268,          0.054489,          0.736263,          0.458100,          2.594316,          0.032683,         12.885455,
     1,     1,   365, 67.0000, 40.8100,255.2400,    10,        272.596499,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.134276,          4.173673,          0.055764,          0.739898,          0.464084,          2.637377,          0.025736,         13.202167,
     1,     1,   365, 68.0000, 40.8100,255.2400,    10,        274.164612,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.136056,          4.227637,          0.053511,          0.753420,          0.470155,          2.679801,          0.043687,         13.410261,
     1,     1,   365, 69.0000, 40.8100,255.2400,    10,        274.401982,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.152992,          4.261761,          0.057917,          0.761309,          0.476206,          2.727967,          0.022947,         13.647231,
     1,     1,   365, 70.0000, 40.8100,255.2400,    10,        274.768949,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.163641,          4.303988,          0.059401,          0.771703,          0.482296,          2.774684,          0.025710,         13.895887,
     1,     1,   365, 71.0000, 40.8100,255.2400,    10,        274.095315,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.138303,          4.343639,          0.054749,          0.788569,          0.488497,          2.818850,          0.045898,         14.094114,
     1,     1,   365, 72.0000, 40.8100,255.2400,    10,        273.421984,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.141416,          4.380456,          0.054440,          0.799309,          0.494680,          2.864787,          0.032742,         14.278181,
     1,     1,   365, 73.0000, 40.8100,255.2400,    10,        272.829362,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.108850,          4.390802,          0.052106,          0.809920,          0.500890,          2.905208,          0.036000,         14.462302,
     1,     1,   365, 74.0000, 40.8100,255.2400,    10,        272.454924,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.125044,          4.408770,          0.048436,          0.816461,          0.507016,          2.941845,          0.022218,         14.604843,
     1,     1,   365, 75.0000, 40.8100,255.2400,    10,        274.331117,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.146157,          4.440479,          0.048251,          0.826722,          0.513145,          2.971727,          0.021934,         14.740566,
     1,     1,   365, 76.0000, 40.8100,255.2400,    10,        271.246902,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.164112,          4.481190,          0.046410,          0.840652,          0.519307,          3.000985,          0.019881,         14.845063,
     1,     1,   365, 77.0000, 40.8100,255.2400,    10,        275.271159,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.154545,          4.498376,          0.047663,          0.854298,          0.525466,          3.028987,          0.017218,         14.958590,
     1,     1,   365, 78.0000, 40.8100,255.2400,    10,        275.062686,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.131792,          4.504012,          0.048791,          0.865144,          0.531574,          3.056693,          0.023260,         15.098383,
     1,     1,   365, 79.0000, 40.8100,255.2400,    10,        274.106208,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.078514,          4.446635,          0.053940,          0.870220,          0.537554,          3.086982,          0.042232,         15.382349,
     1,     1,   365, 80.0000, 40.8100,255.2400,    10,        274.559365,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.131940,          4.482620,          0.051022,          0.874958,          0.543389,          3.124829,          0.020035,         15.529385,
     1,     1,   365, 81.0000, 40.8100,255.2400,    10,        272.791419,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.108352,          4.472960,          0.055102,          0.879973,          0.549173,          3.157774,          0.036461,         15.790384,
     1,     1,   365, 82.0000, 40.8100,255.2400,    10,        271.874161,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.111554,          4.485145,          0.054860,          0.884290,          0.554886,          3.197861,          0.039914,         16.049000,
     1,     1,   365, 83.0000, 40.8100,255.2400,    10,        271.589888,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.130340,          4.481479,          0.057749,          0.886194,          0.560481,          3.238106,          0.022160,         16.321619,
     1,     1,   365, 84.0000, 40.8100,255.2400,    10,        271.239356,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.095826,          4.438532,          0.060888,          0.889915,          0.566000,          3.275320,          0.042998,         16.675493,
     1,     1,   365, 85.0000, 40.8100,255.2400,    10,        270.006156,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.122518,          4.461499,          0.057821,          0.893640,          0.571391,          3.319231,          0.040314,         16.951710,
