   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365, 44.0000, 40.8100,255.2400,    10,        271.239356,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.089008,          3.655596,          0.051619,          0.580299,          0.299906,          2.164412,          0.040561,          9.927023,
     1,     1,   365, 45.0000, 40.8100,255.2400,    10,        270.006156,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.113372,          3.693450,          0.048585,          0.587013,          0.306574,          2.209711,          0.039307,         10.183577,
     1,     1,   365, 46.0000, 40.8100,255.2400,    10,        275.302215,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.110962,          3.700312,          0.051032,          0.592231,          0.313199,          2.254256,          0.032262,         10.480803,
     1,     1,   365, 47.0000, 40.8100,255.2400,    10,        272.596499,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.129781,          3.705597,          0.052361,          0.597152,          0.319731,          2.297124,          0.025241,         10.783451,
     1,     1,   365, 48.0000, 40.8100,255.2400,    10,        274.164612,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.128003,          3.764030,          0.050767,          0.611470,          0.326361,          2.339723,          0.043297,         10.988397,
     1,     1,   365, 49.0000, 40.8100,255.2400,    10,        274.401982,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.146913,          3.804751,          0.054421,          0.620253,          0.332981,          2.387792,          0.022322,         11.215806,
     1,     1,   365, 50.0000, 40.8100,255.2400,    10,        274.768949,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.157156,          3.853402,          0.056027,          0.631531,          0.339653,          2.434242,          0.025161,         11.456334,
     1,     1,   365, 51.0000, 40.8100,255.2400,    10,        274.095315,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.129932,          3.897049,          0.051884,          0.648996,          0.346439,          2.478461,          0.045290,         11.651203,
     1,     1,   365, 52.0000, 40.8100,255.2400,    10,        273.421984,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.133906,          3.937761,          0.051197,          0.660396,          0.353213,          2.524340,          0.032094,         11.829630,
     1,     1,   365, 53.0000, 40.8100,255.2400,    10,        272.829362,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.102127,          3.952269,          0.048933,          0.671681,          0.360016,          2.564600,          0.035111,         12.008415,
     1,     1,   365, 54.0000, 40.8100,255.2400,    10,        272.454924,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.118725,          3.973465,          0.045128,          0.679067,          0.366739,          2.600955,          0.021587,         12.145936,
     1,     1,   365, 55.0000, 40.8100,255.2400,    10,        274.331117,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.139213,          4.007991,          0.045131,          0.690078,          0.373466,          2.630733,          0.021418,         12.278160,
     1,     1,   365, 56.0000, 40.8100,255.2400,    10,        271.246902,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.156000,          4.050151,          0.043427,          0.704609,          0.380224,          2.660082,          0.019480,         12.380905,
     1,     1,   365, 57.0000, 40.8100,255.2400,    10,        275.271159,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.146256,          4.069262,          0.044603,          0.718733,          0.386976,          2.688276,          0.016673,         12.491885,
     1,     1,   365, 58.0000, 40.8100,255.2400,    10,        275.062686,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.124471,          4.077804,          0.045547,          0.730118,          0.393676,          2.715976,          0.022479,         12.627114,
     1,     1,   365, 59.0000, 40.8100,255.2400,    10,        274.106208,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.074463,          4.029396,          0.050478,          0.736037,          0.400255,          2.746046,          0.040640,         12.898119,
     1,     1,   365, 60.0000, 40.8100,255.2400,    10,        274.559365,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.127066,          4.068750,          0.047680,          0.741878,          0.406702,          2.783307,          0.019611,         13.040284,
     1,     1,   365, 61.0000, 40.8100,255.2400,    10,        272.791419,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.103543,          4.065383,          0.051932,          0.747878,          0.413104,          2.816264,          0.035653,         13.292963,
     1,     1,   365, 62.0000, 40.8100,255.2400,    10,        271.874161,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.106888,          4.083830,          0.051661,          0.753261,          0.419446,          2.856235,          0.039365,         13.543251,
     1,     1,   365, 63.0000, 40.8100,255.2400,    10,        271.589888,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.126720,          4.087573,          0.054396,          0.756373,          0.425684,          2.896383,          0.021692,         13.805619,
     1,     1,   365, 64.0000, 40.8100,255.2400,    10,        271.239356,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.092371,          4.054068,          0.057721,          0.761202,          0.431857,          2.933691,          0.042057,         14.147510,
     1,     1,   365, 65.0000, 40.8100,255.2400,    10,        270.006156,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.118169,          4.083424,          0.054720,          0.766087,          0.437920,          2.977561,          0.039997,         14.415765,
     1,     1,   365, 66.0000, 40.8100,255.2400,    10,        275.302215,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.114758,          4.079729,          0.057379,          0.769470,          0.443919,          3.020394,          0.033049,         14.728411,
     1,     1,   365, 67.0000, 40.8100,255.2400,    10,        272.596499,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.133190,          4.073945,          0.058762,          0.772515,          0.449800,          3.061497,          0.025983,         15.046798,
     1,     1,   365, 68.0000, 40.8100,255.2400,    10,        274.164612,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.134279,          4.128133,          0.056658,          0.785368,          0.455772,          3.102883,          0.044169,         15.256839,
     1,     1,   365, 69.0000, 40.8100,255.2400,    10,        274.401982,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.151478,          4.162632,          0.061133,          0.792590,          0.461724,          3.149733,          0.023084,         15.494917,
     1,     1,   365, 70.0000, 40.8100,255.2400,    10,        274.768949,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.162001,          4.205192,          0.062585,          0.802324,          0.467720,          3.195152,          0.025867,         15.744717,
     1,     1,   365, 71.0000, 40.8100,255.2400,    10,        274.095315,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.136451,          4.245316,          0.057890,          0.818514,          0.473827,          3.238499,          0.046346,         15.944462,
     1,     1,   365, 72.0000, 40.8100,255.2400,    10,        273.421984,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.139564,          4.282396,          0.057667,          0.828595,          0.479920,          3.283539,          0.033048,         16.129861,
     1,     1,   365, 73.0000, 40.8100,255.2400,    10,        272.829362,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.107328,          4.293267,          0.055220,          0.838546,          0.486041,          3.323107,          0.036350,         16.315344,
     1,     1,   365, 74.0000, 40.8100,255.2400,    10,        272.454924,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.123528,          4.311354,          0.051754,          0.844485,          0.492081,          3.358879,          0.022429,         16.459145,
     1,     1,   365, 75.0000, 40.8100,255.2400,    10,        274.331117,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.144646,          4.343285,          0.051670,          0.854126,          0.498125,          3.388105,          0.022125,         16.596161,
     1,     1,   365, 76.0000, 40.8100,255.2400,    10,        271.246902,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.162521,          4.384124,          0.049952,          0.867440,          0.504204,          3.416908,          0.020037,         16.701745,
     1,     1,   365, 77.0000, 40.8100,255.2400,    10,        275.271159,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.152963,          4.401521,          0.051250,          0.880473,          0.510281,          3.444520,          0.017323,         16.816386,
     1,     1,   365, 78.0000, 40.8100,255.2400,    10,        275.062686,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.130099,          4.407304,          0.052196,          0.890710,          0.516309,          3.471738,          0.023455,         16.957426,
     1,     1,   365, 79.0000, 40.8100,255.2400,    10,        274.106208,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.077061,          4.350436,          0.056555,          0.895196,          0.522211,          3.500932,          0.042536,         17.242560,
     1,     1,   365, 80.0000, 40.8100,255.2400,    10,        274.559365,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.130852,          4.386788,          0.054200,          0.899408,          0.527971,          3.537479,          0.020189,         17.390445,
     1,     1,   365, 81.0000, 40.8100,255.2400,    10,        272.791419,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.106794,          4.377276,          0.057950,          0.903887,          0.533681,          3.569153,          0.036801,         17.653230,
