ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
   259,  35.05,   5.00, 16,-99,-99,    47946174464.0000, 0.05546, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  67,   3,
   260,  36.95,   5.00, 17,-99,-99,    24211361792.0000, 0.09911, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  68,   3,
   263,  42.63,   5.00, 17,-99,-99,     4832195072.0000, 0.15778, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  71,   3,
   264,  44.53,   5.00, 14,-99,-99,    41755623424.0000, 0.34662, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  72,   3,
   265,  46.42,   5.00, 14,-99,-99,    40374853632.0000, 0.47449, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  73,   3,
   266,  48.32,   5.00, 12,-99,-99,    38949937152.0000, 0.50124, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  74,   3,
   267,  50.21,   5.00, 12,-99,-99,    37482426368.0000, 0.77648, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  75,   3,
   268,  52.11,   5.00, 12,-99,-99,    19822526464.0000, 0.58815, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  76,   3,
   269,  54.00,   5.00, 17,-99,-99,      219434976.0000, 0.23285, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  77,   3,
   271,  57.79,   5.00, 17,-99,-99,      128723176.0000, 0.17073, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  79,   3,
   272,  59.68,   5.00, 17,-99,-99,     7972056576.0000, 0.14447, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  80,   3,
   273,  61.58,   5.00, 17,-99,-99,     9340869632.0000, 0.10272, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  81,   3,
   299, -71.05,   7.50, 15,-99,-99,    19017377792.0000, 0.00128, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  11,   4,
   300, -69.16,   7.50, 17,-99,-99,     2480204288.0000, 0.00240, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  12,   4,
   336,  -0.95,   7.50, 17,-99,-99,     1238451968.0000, 0.20264, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  48,   4,
   339,   4.74,   7.50,  8,-99,-99,    36030693376.0000, 0.40978, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  51,   4,
   340,   6.63,   7.50,  8,-99,-99,    58177298432.0000, 0.38539, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  52,   4,
   341,   8.53,   7.50,  8,-99,-99,    57921855488.0000, 0.25577, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  53,   4,
   342,  10.42,   7.50,  9,-99,-99,    57603076096.0000, 0.19820, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  54,   4,
   343,  12.32,   7.50, 14,-99,-99,    57221304320.0000, 0.14913, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  55,   4,
   344,  14.21,   7.50, 10,-99,-99,    56776970240.0000, 0.10357, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  56,   4,
   345,  16.11,   7.50,  7,-99,-99,    56270544896.0000, 0.05510, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  57,   4,
   346,  18.00,   7.50,  7,-99,-99,    55702589440.0000, 0.03305, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  58,   4,
   347,  19.89,   7.50, 16,-99,-99,    55073726464.0000, 0.02272, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  59,   4,
   348,  21.79,   7.50, 16,-99,-99,    54384635904.0000, 0.01891, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  60,   4,
   349,  23.68,   7.50, 16,-99,-99,    53636083712.0000, 0.01963, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  61,   4,
   350,  25.58,   7.50, 16,-99,-99,    52828876800.0000, 0.01953, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  62,   4,
   351,  27.47,   7.50, 16,-99,-99,    51963904000.0000, 0.01823, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  63,   4,
