ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   346,  18.00,   7.50, 0.57948, 0.11820, 0.30232, 0.10969, 0.20824, 0.41648,
   347,  19.89,   7.50, 0.56647, 0.26569, 0.16784, 0.14546, 0.25318, 0.41820,
   348,  21.79,   7.50, 0.76663, 0.10922, 0.12415, 0.08649, 0.18329, 0.39269,
   349,  23.68,   7.50, 0.76663, 0.10922, 0.12415, 0.08649, 0.18311, 0.39254,
   350,  25.58,   7.50, 0.45624, 0.14330, 0.40046, 0.12503, 0.23243, 0.43184,
   351,  27.47,   7.50, 0.90000, 0.05000, 0.05000, 0.09638, 0.14638, 0.37600,
   352,  29.37,   7.50, 0.90000, 0.05000, 0.05000, 0.09643, 0.14643, 0.37604,
   353,  31.26,   7.50, 0.90000, 0.05000, 0.05000, 0.09628, 0.14628, 0.37594,
   354,  33.16,   7.50, 0.90000, 0.05000, 0.05000, 0.09637, 0.14637, 0.37600,
   355,  35.05,   7.50, 0.35520, 0.25386, 0.39095, 0.15740, 0.27841, 0.44515,
   356,  36.95,   7.50, 0.39801, 0.28219, 0.31980, 0.16252, 0.27979, 0.44080,
   357,  38.84,   7.50, 0.42788, 0.24585, 0.32627, 0.14726, 0.26744, 0.43728,
   358,  40.74,   7.50, 0.37984, 0.25804, 0.36212, 0.15602, 0.27941, 0.44648,
   359,  42.63,   7.50, 0.46873, 0.27353, 0.25775, 0.15424, 0.26932, 0.43388,
   360,  44.53,   7.50, 0.44582, 0.26366, 0.29052, 0.15201, 0.26973, 0.43636,
   361,  46.42,   7.50, 0.52647, 0.30569, 0.16784, 0.16610, 0.26959, 0.42836,
   362,  48.32,   7.50, 0.40905, 0.24196, 0.34899, 0.14794, 0.27037, 0.44281,
   363,  50.21,   7.50, 0.45542, 0.24190, 0.30268, 0.14326, 0.26396, 0.43682,
   364,  52.11,   7.50, 0.61010, 0.10052, 0.28938, 0.11432, 0.20562, 0.42230,
   365,  54.00,   7.50, 0.38944, 0.21712, 0.39343, 0.14339, 0.27504, 0.45629,
