ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   363,  50.21,   7.50, 0.51501, 0.20879, 0.27620, 0.12610, 0.24727, 0.42841,
   364,  52.11,   7.50, 0.62396, 0.10013, 0.27591, 0.11229, 0.20141, 0.41852,
   365,  54.00,   7.50, 0.31399, 0.27176, 0.41424, 0.16702, 0.29428, 0.46011,
   366,  55.89,   7.50, 0.56932, 0.13210, 0.29859, 0.10781, 0.21890, 0.42436,
   367,  57.79,   7.50, 0.53840, 0.19213, 0.26947, 0.11852, 0.24020, 0.42753,
   368,  59.68,   7.50, 0.61805, 0.14990, 0.23205, 0.10050, 0.21760, 0.41783,
   369,  61.58,   7.50, 0.61805, 0.14990, 0.23205, 0.10050, 0.21752, 0.41732,
   370,  63.47,   7.50, 0.61805, 0.14990, 0.23205, 0.10050, 0.21704, 0.41683,
   395, -71.05,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   396, -69.16,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   430,  -4.74,  10.00, 0.58410, 0.29934, 0.11656, 0.16193, 0.25972, 0.41874,
   431,  -2.84,  10.00, 0.32792, 0.46044, 0.21164, 0.22879, 0.32319, 0.45202,
   432,  -0.95,  10.00, 0.32792, 0.46044, 0.21164, 0.22879, 0.32319, 0.45203,
   433,   0.95,  10.00, 0.41210, 0.43934, 0.14856, 0.22532, 0.30891, 0.44180,
   434,   2.84,  10.00, 0.41210, 0.43934, 0.14856, 0.22532, 0.30944, 0.44264,
   435,   4.74,  10.00, 0.42012, 0.43007, 0.14981, 0.22186, 0.30654, 0.44107,
   436,   6.63,  10.00, 0.39180, 0.46241, 0.14579, 0.23344, 0.31505, 0.44427,
   437,   8.53,  10.00, 0.42646, 0.39449, 0.17905, 0.20688, 0.29798, 0.43856,
   438,  10.42,  10.00, 0.38392, 0.41471, 0.20137, 0.21408, 0.30757, 0.44368,
   439,  12.32,  10.00, 0.62702, 0.19736, 0.17563, 0.11147, 0.22905, 0.41234,
   440,  14.21,  10.00, 0.87155, 0.09806, 0.03038, 0.08040, 0.16855, 0.38081,
   441,  16.11,  10.00, 0.90000, 0.05000, 0.05000, 0.09681, 0.14681, 0.37712,
