npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
1,1,37,365,10,275.31328,28.09982,0,312.04493,0.562,0,7.61085,96.80326,484.765,0,0.47621,0.33941,0,268.15618,1752.69886,563.32717,2.75,24.8855,42.06107,0.18501,0.05852,0.04985,0.16921,0.1161,0,0,0,0,-0.08523,0,0,0.08523,0,0,0,0,1,0.2641,0.07595
1,1,38,365,10,275.11698,33.99667,0,367.63213,0.67993,0,8.96664,72.47674,461.37413,0,0.47621,0.33941,0,263.20774,1779.76299,563.70959,2.75,24.8855,42.06107,0.26615,0.06981,0.05947,0.19936,0.13678,0,0,0,0,-0.09782,0,0,0.09782,0,0,0,0,1,0.26201,0.12385
1,1,39,365,10,274.17873,55.70729,0,531.28572,1.11415,0,12.95819,45.59529,386.51376,0,0.47621,0.33941,0,221.92743,1820.8182,564.4088,2.75,24.8855,42.06107,0.40913,0.11211,0.0955,0.28809,0.19766,0,0,0,0,-0.12434,0,0,0.12434,0,0,0,0,1,0.25223,0.24332
1,1,40,365,10,274.65033,40.36482,0,447.76504,0.8073,0,10.9211,84.07333,406.29305,0,0.47621,0.33941,0,217.46484,1833.57088,564.70916,2.75,24.8855,42.06107,0.22586,0.08324,0.07091,0.2428,0.16659,0,0,0,0,-0.11185,0,0,0.11185,0,0,0,0,1,0.2571,0.10715
1,1,41,365,10,272.86724,67.74991,0,602.63199,1.355,0,14.69834,71.05501,386.2807,0,0.47621,0.33941,0,211.20318,1853.81122,565.22036,2.75,24.8855,42.06107,0.62725,0.13501,0.115,0.32676,0.22419,0,0,0,0,-0.11686,0,0,0.11686,0,0,0,0,1,0.23917,0.34465
1,1,42,365,10,271.95911,60.45891,0,582.98811,1.20918,0,14.21922,76.48219,392.28824,0,0.47621,0.33941,0,214.10984,1869.8259,565.66914,2.75,24.8855,42.06107,1.23966,0.11884,0.10123,0.31611,0.21688,0,0,0,0,-0.09861,0,0,0.09861,0,0,0,0,1,0.23052,0.68134
1,1,43,365,10,271.69435,64.78033,0,556.05496,1.29561,0,13.56232,101.89272,401.15076,0,0.47621,0.33941,0,207.46251,1884.20165,566.10712,2.75,24.8855,42.06107,0.21575,0.1336,0.11381,0.3015,0.20686,0,0,0,0,-0.09028,0,0,0.09028,0,0,0,0,1,0.22806,0.10695
1,1,44,365,10,271.32786,68.85861,0,732.82438,1.37717,0,17.87377,68.11728,371.00164,0,0.47621,0.33941,0,204.27163,1904.67466,566.73939,2.75,24.8855,42.06107,0.59599,0.13709,0.11678,0.39734,0.27262,0,0,0,0,-0.11234,0,0,0.11234,0,0,0,0,1,0.2247,0.35636
1,1,45,365,10,270.0956,60.13461,0,681.85963,1.20269,0,16.63072,87.13898,390.88196,0,0.47621,0.33941,0,210.1927,1916.55566,567.19248,2.75,24.8855,42.06107,0.97609,0.11856,0.10099,0.3697,0.25365,0,0,0,0,-0.08556,0,0,0.08556,0,0,0,0,1,0.21374,0.54949
1,1,46,365,10,275.4132,56.91092,0,665.9787,1.13822,0,16.24338,89.48361,392.65813,0,0.47621,0.33941,0,210.77377,1931.29248,567.69435,2.75,24.8855,42.06107,1.23254,0.09524,0.08113,0.36114,0.24778,0,0,0,0,-0.18433,0,0,0.18433,0,0,0,0,1,0.26518,0.55102
1,1,47,365,10,272.69723,68.04636,0,751.02372,1.36093,0,18.31765,108.72874,399.80486,0,0.47621,0.33941,0,205.72761,1945.27821,568.21471,2.75,24.8855,42.06107,0.6197,0.13632,0.11612,0.40722,0.2794,0,0,0,0,-0.14201,0,0,0.14201,0,0,0,0,1,0.23752,0.28474
1,1,48,365,10,274.26855,43.89812,0,591.49747,0.87796,0,14.42677,88.23471,423.11829,0,0.47621,0.33941,0,235.01824,1959.01174,568.59292,2.75,24.8855,42.06107,1.06545,0.08676,0.0739,0.32074,0.22006,0,0,0,0,-0.14018,0,0,0.14018,0,0,0,0,1,0.25315,0.48469
1,1,49,365,10,274.501,66.64203,0,653.9719,1.33284,0,15.95053,119.59006,447.51708,0,0.47621,0.33941,0,234.68257,1975.60776,568.99585,2.75,24.8855,42.06107,0.21616,0.1185,0.10094,0.35462,0.24331,0,0,0,0,-0.16004,0,0,0.16004,0,0,0,0,1,0.25555,0.08486
1,1,50,365,10,274.86604,66.5167,0,697.64152,1.33033,0,17.01565,128.28703,472.40541,0,0.47621,0.33941,0,247.05479,1996.0614,569.4515,2.75,24.8855,42.06107,0.4623,0.11549,0.09838,0.37831,0.25956,0,0,0,0,-0.17945,0,0,0.17945,0,0,0,0,1,0.25936,0.16966
1,1,51,365,10,274.17473,30.82005,0,498.75185,0.6164,0,12.16468,88.37382,478.46425,0,0.47621,0.33941,0,272.9223,2018.18443,569.86424,2.75,24.8855,42.06107,0.96764,0.06112,0.05206,0.27045,0.18556,0,0,0,0,-0.11666,0,0,0.11666,0,0,0,0,1,0.25219,0.41667
1,1,52,365,10,273.51758,55.43819,0,508.03553,1.10876,0,12.39111,93.95653,486.68045,0,0.47621,0.33941,0,274.12735,2039.98154,570.26057,2.75,24.8855,42.06107,0.32048,0.11348,0.09667,0.27548,0.18901,0,0,0,0,-0.10829,0,0,0.10829,0,0,0,0,1,0.24556,0.13785
1,1,53,365,10,272.88055,24.39792,0,355.29291,0.48796,0,8.66568,64.48828,465.39544,0,0.47621,0.33941,0,272.92479,2064.03999,570.69982,2.75,24.8855,42.06107,0.53518,0.04895,0.0417,0.19265,0.13218,0,0,0,0,-0.06903,0,0,0.06903,0,0,0,0,1,0.2393,0.26983
1,1,54,365,10,272.53265,42.41458,0,419.26719,0.84829,0,10.22603,71.0362,450.61211,0,0.47621,0.33941,0,257.13946,2083.34842,571.10193,2.75,24.8855,42.06107,0.43706,0.08561,0.07292,0.22734,0.15598,0,0,0,0,-0.07736,0,0,0.07736,0,0,0,0,1,0.23594,0.22052
1,1,55,365,10,274.35508,58.73416,0,497.82917,1.17468,0,12.14217,94.31346,461.76366,0,0.47621,0.33941,0,252.04309,2098.80959,571.46505,2.75,24.8855,42.06107,0.40727,0.10193,0.08683,0.26995,0.18521,0,0,0,0,-0.1194,0,0,0.1194,0,0,0,0,1,0.25404,0.17207
