npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,    21,   365,    10,   272.86724,    67.74997,     0.00000,   602.62945,     1.35500,     0.00000,    14.69828,   107.01598,   619.19114,     0.00000,     0.47621,     0.33941,     0.00000,   345.96835,  1261.18666,   556.92816,     2.75000,    24.88550,    42.06107,     0.51306,     0.13501,     0.11500,     0.32676,     0.22419,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11686,     0.00000,     0.00000,     0.11686,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23917,     0.21234,
     1,     1,    22,   365,    10,   271.95911,    60.45895,     0.00000,   582.98656,     1.20918,     0.00000,    14.21918,   115.88329,   622.60720,     0.00000,     0.47621,     0.33941,     0.00000,   343.98413,  1318.77650,   557.41335,     2.75000,    24.88550,    42.06107,     1.14034,     0.11884,     0.10123,     0.31610,     0.21688,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09861,     0.00000,     0.00000,     0.09861,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23052,     0.46996,
     1,     1,    23,   365,    10,   271.69435,    64.78035,     0.00000,   556.05403,     1.29561,     0.00000,    13.56229,   138.57609,   626.70077,     0.00000,     0.47621,     0.33941,     0.00000,   334.73700,  1373.84068,   557.89392,     2.75000,    24.88550,    42.06107,     0.15840,     0.13360,     0.11381,     0.30150,     0.20686,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09028,     0.00000,     0.00000,     0.09028,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22806,     0.06102,
     1,     1,    24,   365,    10,   271.32786,    68.85862,     0.00000,   732.82381,     1.37717,     0.00000,    17.87375,   100.22493,   588.96470,     0.00000,     0.47621,     0.33941,     0.00000,   328.30165,  1450.46950,   558.58827,     2.75000,    24.88550,    42.06107,     0.48603,     0.13709,     0.11678,     0.39734,     0.27262,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11234,     0.00000,     0.00000,     0.11234,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22470,     0.22034,
     1,     1,    25,   365,    10,   270.09560,    60.13461,     0.00000,   681.85928,     1.20269,     0.00000,    16.63071,   127.97680,   607.75032,     0.00000,     0.47621,     0.33941,     0.00000,   328.66500,  1501.38118,   559.07266,     2.75000,    24.88550,    42.06107,     0.85134,     0.11856,     0.10099,     0.36970,     0.25365,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08556,     0.00000,     0.00000,     0.08556,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.21374,     0.36137,
     1,     1,    26,   365,    10,   275.41320,    56.91093,     0.00000,   665.97849,     1.13822,     0.00000,    16.24338,   127.55332,   606.24694,     0.00000,     0.47621,     0.33941,     0.00000,   328.87206,  1556.51368,   559.61083,     2.75000,    24.88550,    42.06107,     1.06412,     0.09524,     0.08113,     0.36114,     0.24778,     0.00000,     0.00000,     0.00000,     0.00000,    -0.18433,     0.00000,     0.00000,     0.18433,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26518,     0.36256,
     1,     1,    27,   365,    10,   272.69723,    68.04636,     0.00000,   751.02359,     1.36093,     0.00000,    18.31765,   144.87639,   610.17008,     0.00000,     0.47621,     0.33941,     0.00000,   322.91904,  1611.74212,   560.17094,     2.75000,    24.88550,    42.06107,     0.48048,     0.13632,     0.11612,     0.40722,     0.27940,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14201,     0.00000,     0.00000,     0.14201,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23752,     0.17220,
     1,     1,    28,   365,    10,   274.26855,    43.89812,     0.00000,   591.49739,     0.87796,     0.00000,    14.42677,   142.35023,   640.29432,     0.00000,     0.47621,     0.33941,     0.00000,   348.18846,  1647.91411,   560.53755,     2.75000,    24.88550,    42.06107,     0.94659,     0.08676,     0.07390,     0.32074,     0.22006,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14018,     0.00000,     0.00000,     0.14018,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25315,     0.31202,
     1,     1,    29,   365,    10,   274.50100,    66.64203,     0.00000,   653.97185,     1.33284,     0.00000,    15.95053,   168.31496,   668.93373,     0.00000,     0.47621,     0.33941,     0.00000,   354.78275,  1686.76892,   560.93122,     2.75000,    24.88550,    42.06107,     0.16134,     0.11850,     0.10094,     0.35462,     0.24331,     0.00000,     0.00000,     0.00000,     0.00000,    -0.16004,     0.00000,     0.00000,     0.16004,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25555,     0.04803,
     1,     1,    30,   365,    10,   274.86604,    66.51670,     0.00000,   697.64149,     1.33033,     0.00000,    17.01565,   179.62832,   698.72716,     0.00000,     0.47621,     0.33941,     0.00000,   369.84556,  1731.19294,   561.38083,     2.75000,    24.88550,    42.06107,     0.35508,     0.11549,     0.09838,     0.37831,     0.25956,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17945,     0.00000,     0.00000,     0.17945,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25936,     0.09891,
     1,     1,    31,   365,    10,   274.17473,    30.82005,     0.00000,   498.75183,     0.61640,     0.00000,    12.16468,   151.16883,   713.86820,     0.00000,     0.47621,     0.33941,     0.00000,   396.81442,  1769.87767,   561.76554,     2.75000,    24.88550,    42.06107,     0.86369,     0.06112,     0.05206,     0.27045,     0.18556,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11666,     0.00000,     0.00000,     0.11666,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25219,     0.26251,
     1,     1,    32,   365,    10,   273.51758,    55.43819,     0.00000,   508.03552,     1.10876,     0.00000,    12.39111,   154.35830,   730.83170,     0.00000,     0.47621,     0.33941,     0.00000,   406.31250,  1806.44616,   562.12941,     2.75000,    24.88550,    42.06107,     0.25991,     0.11348,     0.09667,     0.27548,     0.18901,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10829,     0.00000,     0.00000,     0.10829,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.24556,     0.07950,
     1,     1,    33,   365,    10,   272.88055,    24.39792,     0.00000,   355.29290,     0.48796,     0.00000,     8.66568,   119.75275,   716.94925,     0.00000,     0.47621,     0.33941,     0.00000,   413.45658,  1848.10749,   562.54564,     2.75000,    24.88550,    42.06107,     0.46796,     0.04895,     0.04170,     0.19265,     0.13218,     0.00000,     0.00000,     0.00000,     0.00000,    -0.06903,     0.00000,     0.00000,     0.06903,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23930,     0.16243,
     1,     1,    34,   365,    10,   272.53265,    42.41458,     0.00000,   419.26719,     0.84829,     0.00000,    10.22603,   118.56441,   707.98966,     0.00000,     0.47621,     0.33941,     0.00000,   405.67704,  1886.12533,   562.93534,     2.75000,    24.88550,    42.06107,     0.36845,     0.08561,     0.07292,     0.22734,     0.15598,     0.00000,     0.00000,     0.00000,     0.00000,    -0.07736,     0.00000,     0.00000,     0.07736,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23594,     0.13070,
     1,     1,    35,   365,    10,   274.35508,    58.73416,     0.00000,   497.82917,     1.17468,     0.00000,    12.14217,   141.80771,   722.66521,     0.00000,     0.47621,     0.33941,     0.00000,   402.27178,  1921.13714,   563.30280,     2.75000,    24.88550,    42.06107,     0.32922,     0.10193,     0.08683,     0.26995,     0.18521,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11940,     0.00000,     0.00000,     0.11940,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25404,     0.10039,
     1,     1,    36,   365,    10,   271.30076,    33.25054,     0.00000,   390.44092,     0.66501,     0.00000,     9.52295,   166.12539,   752.16013,     0.00000,     0.47621,     0.33941,     0.00000,   410.75535,  1944.84509,   563.55264,     2.75000,    24.88550,    42.06107,     0.18434,     0.06865,     0.05848,     0.21170,     0.14525,     0.00000,     0.00000,     0.00000,     0.00000,    -0.05960,     0.00000,     0.00000,     0.05960,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22445,     0.05853,
     1,     1,    37,   365,    10,   275.31328,    28.09982,     0.00000,   312.04493,     0.56200,     0.00000,     7.61085,   157.50607,   756.09278,     0.00000,     0.47621,     0.33941,     0.00000,   418.04042,  1971.35254,   563.83137,     2.75000,    24.88550,    42.06107,     0.15612,     0.05852,     0.04985,     0.16921,     0.11610,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08523,     0.00000,     0.00000,     0.08523,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26410,     0.04285,
     1,     1,    38,   365,    10,   275.11698,    33.99667,     0.00000,   367.63213,     0.67993,     0.00000,     8.96664,   124.37062,   734.18782,     0.00000,     0.47621,     0.33941,     0.00000,   418.48790,  2009.56034,   564.23753,     2.75000,    24.88550,    42.06107,     0.23261,     0.06981,     0.05947,     0.19936,     0.13678,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09782,     0.00000,     0.00000,     0.09782,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26201,     0.07109,
     1,     1,    39,   365,    10,   274.17873,    55.70729,     0.00000,   531.28572,     1.11415,     0.00000,    12.95819,    72.98856,   648.23234,     0.00000,     0.47621,     0.33941,     0.00000,   380.14811,  2082.41268,   565.06159,     2.75000,    24.88550,    42.06107,     0.36744,     0.11211,     0.09550,     0.28809,     0.19766,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12434,     0.00000,     0.00000,     0.12434,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25223,     0.14525,
     1,     1,    40,   365,    10,   274.65033,    40.36482,     0.00000,   447.76504,     0.80730,     0.00000,    10.92110,   120.65306,   667.59136,     0.00000,     0.47621,     0.33941,     0.00000,   369.11690,  2110.47112,   565.40962,     2.75000,    24.88550,    42.06107,     0.18685,     0.08324,     0.07091,     0.24280,     0.16659,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11185,     0.00000,     0.00000,     0.11185,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25710,     0.06114,
     1,     1,    41,   365,    10,   272.86724,    67.74991,     0.00000,   602.63199,     1.35500,     0.00000,    14.69834,   107.01651,   639.40425,     0.00000,     0.47621,     0.33941,     0.00000,   356.15211,  2158.00132,   566.02781,     2.75000,    24.88550,    42.06107,     0.57036,     0.13501,     0.11500,     0.32676,     0.22419,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11686,     0.00000,     0.00000,     0.11686,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23917,     0.21234,
     1,     1,    42,   365,    10,   271.95911,    60.45891,     0.00000,   582.98811,     1.20918,     0.00000,    14.21922,   115.88360,   639.31489,     0.00000,     0.47621,     0.33941,     0.00000,   352.37159,  2196.99963,   566.56545,     2.75000,    24.88550,    42.06107,     1.25762,     0.11884,     0.10123,     0.31611,     0.21688,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09861,     0.00000,     0.00000,     0.09861,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23052,     0.46996,
     1,     1,    43,   365,    10,   271.69435,    64.78033,     0.00000,   556.05496,     1.29561,     0.00000,    13.56232,   138.57631,   640.50679,     0.00000,     0.47621,     0.33941,     0.00000,   341.64638,  2233.46209,   567.09499,     2.75000,    24.88550,    42.06107,     0.17288,     0.13360,     0.11381,     0.30150,     0.20686,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09028,     0.00000,     0.00000,     0.09028,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22806,     0.06102,
     1,     1,    44,   365,    10,   271.32786,    68.85861,     0.00000,   732.82438,     1.37717,     0.00000,    17.87377,   100.22501,   599.42931,     0.00000,     0.47621,     0.33941,     0.00000,   333.51932,  2283.25468,   567.85506,     2.75000,    24.88550,    42.06107,     0.53490,     0.13709,     0.11678,     0.39734,     0.27262,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11234,     0.00000,     0.00000,     0.11234,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22470,     0.22034,
     1,     1,    45,   365,    10,   270.09560,    60.13461,     0.00000,   681.85963,     1.20269,     0.00000,    16.63072,   127.97686,   616.32469,     0.00000,     0.47621,     0.33941,     0.00000,   332.93077,  2315.08587,   568.38335,     2.75000,    24.88550,    42.06107,     0.92491,     0.11856,     0.10099,     0.36970,     0.25365,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08556,     0.00000,     0.00000,     0.08556,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.21374,     0.36137,
     1,     1,    46,   365,    10,   275.41320,    56.91092,     0.00000,   665.97870,     1.13822,     0.00000,    16.24338,   127.55336,   613.14414,     0.00000,     0.47621,     0.33941,     0.00000,   332.29646,  2349.64429,   568.96674,     2.75000,    24.88550,    42.06107,     1.15236,     0.09524,     0.08113,     0.36114,     0.24778,     0.00000,     0.00000,     0.00000,     0.00000,    -0.18433,     0.00000,     0.00000,     0.18433,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26518,     0.36256,
     1,     1,    47,   365,    10,   272.69723,    68.04636,     0.00000,   751.02372,     1.36093,     0.00000,    18.31765,   144.87642,   615.66575,     0.00000,     0.47621,     0.33941,     0.00000,   325.64276,  2383.75211,   569.57140,     2.75000,    24.88550,    42.06107,     0.51665,     0.13632,     0.11612,     0.40722,     0.27940,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14201,     0.00000,     0.00000,     0.14201,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23752,     0.17220,
