npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
1,1,27,365,10,272.69723,68.04636,0,751.02372,1.36093,0,18.31765,144.87642,615.89388,0,0.47621,0.33941,0,325.75491,3918.50848,662.55055,46.2035,300.51078,49.43115,0.58543,0.13632,0.11612,0.40722,0.2794,0,0,0,0,-0.14201,0,0,0.14201,0,0,0,0,1,0.23752,0.1722
1,1,28,365,10,274.26855,43.89812,0,591.49747,0.87796,0,14.42677,142.35025,645.25258,0,0.47621,0.33941,0,350.64277,3914.43741,662.97644,46.2035,300.51078,49.43115,1.14537,0.08676,0.0739,0.32074,0.22006,0,0,0,0,-0.14018,0,0,0.14018,0,0,0,0,1,0.25315,0.31202
1,1,29,365,10,274.501,66.64203,0,653.9719,1.33284,0,15.95053,168.31498,673.2198,0,0.47621,0.33941,0,356.90256,3913.11505,663.42843,46.2035,300.51078,49.43115,0.19163,0.1185,0.10094,0.35462,0.24331,0,0,0,0,-0.16004,0,0,0.16004,0,0,0,0,1,0.25555,0.04803
1,1,30,365,10,274.86604,66.5167,0,697.64152,1.33033,0,17.01565,179.62833,702.38116,0,0.47621,0.33941,0,371.6513,3914.29777,663.93988,46.2035,300.51078,49.43115,0.41705,0.11549,0.09838,0.37831,0.25956,0,0,0,0,-0.17945,0,0,0.17945,0,0,0,0,1,0.25936,0.09891
1,1,31,365,10,274.17473,30.82005,0,498.75185,0.6164,0,12.16468,151.16883,717.084,0,0.47621,0.33941,0,398.40269,3918.92561,664.37265,46.2035,300.51078,49.43115,1.02094,0.06112,0.05206,0.27045,0.18556,0,0,0,0,-0.11666,0,0,0.11666,0,0,0,0,1,0.25219,0.26251
1,1,32,365,10,273.51758,55.43819,0,508.03553,1.10876,0,12.39111,154.35831,733.69763,0,0.47621,0.33941,0,407.72732,3925.21246,664.7788,46.2035,300.51078,49.43115,0.30559,0.11348,0.09667,0.27548,0.18901,0,0,0,0,-0.10829,0,0,0.10829,0,0,0,0,1,0.24556,0.0795
1,1,33,365,10,272.88055,24.39792,0,355.29291,0.48796,0,8.66568,119.75275,719.4715,0,0.47621,0.33941,0,414.70114,3933.76448,665.24076,46.2035,300.51078,49.43115,0.5574,0.04895,0.0417,0.19265,0.13218,0,0,0,0,-0.06903,0,0,0.06903,0,0,0,0,1,0.2393,0.16243
1,1,34,365,10,272.53265,42.41458,0,419.26719,0.84829,0,10.22603,118.56441,710.22689,0,0.47621,0.33941,0,406.78053,3941.1504,665.67234,46.2035,300.51078,49.43115,0.43831,0.08561,0.07292,0.22734,0.15598,0,0,0,0,-0.07736,0,0,0.07736,0,0,0,0,1,0.23594,0.1307
1,1,35,365,10,274.35508,58.73416,0,497.82917,1.17468,0,12.14217,141.80772,724.66038,0,0.47621,0.33941,0,403.25553,3947.31553,666.07885,46.2035,300.51078,49.43115,0.38615,0.10193,0.08683,0.26995,0.18521,0,0,0,0,-0.1194,0,0,0.1194,0,0,0,0,1,0.25404,0.10039
1,1,36,365,10,271.30076,33.25054,0,390.44092,0.66501,0,9.52295,166.12539,754.00696,0,0.47621,0.33941,0,411.66576,3951.77754,666.35453,46.2035,300.51078,49.43115,0.21337,0.06865,0.05848,0.2117,0.14525,0,0,0,0,-0.0596,0,0,0.0596,0,0,0,0,1,0.22445,0.05853
