time,aglivc,bglivcj,bglivcm,som2c(1),som3c,somsc,somtc,

1920.92,0.2262,86.1977,119.6802,21.1780,554.2393,937.0574,1099.5367
1921.00,0.2083,82.0937,117.9425,21.1893,554.2390,937.2090,1105.0834
1921.08,0.1927,78.1729,116.2244,21.2330,554.2389,937.5040,1110.1886
1921.17,0.1827,74.4988,114.5590,21.4187,554.2399,938.5277,1113.1405
1921.25,0.1733,71.7876,113.3369,21.6685,554.2431,940.3423,1110.9554
1921.33,4.6275,71.2027,112.5756,21.7688,554.2498,941.5065,1106.1234
1921.42,31.8559,79.1368,113.3732,21.4913,554.2581,942.1708,1102.0667
1921.50,70.8919,91.1852,116.1430,20.9312,554.2734,938.3255,1089.2976
1921.58,26.9385,98.9057,120.5019,20.7186,554.2750,938.4811,1092.6982
1921.67,27.1700,94.6229,124.4050,20.9433,554.2766,936.7307,1085.0701
1921.75,0.2527,87.7850,126.5236,21.1086,554.2764,936.8636,1088.5660
1921.83,0.2314,83.5835,126.1462,21.1464,554.2755,937.0543,1093.0040
1921.92,0.2118,80.2388,124.6966,21.1587,554.2759,937.1496,1097.7291
1922.00,0.1953,76.4509,122.9015,21.1778,554.2750,937.4243,1103.0448
1922.08,0.1804,72.7995,121.1113,21.1989,554.2747,937.5701,1108.2146
1922.17,0.1662,69.3223,119.3471,21.2380,554.2747,937.7261,1113.2013
1922.25,0.1532,66.4473,117.8637,21.3555,554.2748,938.2190,1116.8182
1922.33,1.4174,64.4317,116.7798,21.6095,554.2750,940.4031,1115.6895
1922.42,8.1775,65.2318,117.0341,21.6542,554.2847,942.7033,1104.7783
1922.50,33.5127,74.4311,119.6190,20.9508,554.2932,942.1599,1100.4194
1922.58,12.1984,69.8368,122.4402,20.5468,554.2981,941.8449,1098.7240
1922.67,18.5549,76.1573,126.1873,20.1948,554.3008,941.4710,1099.7006
1922.75,0.3038,78.5028,128.6663,20.0688,554.3018,941.8659,1104.6361
1922.83,0.2780,74.9132,128.5239,20.0326,554.3019,941.9769,1108.0537
1922.92,0.2612,71.9288,127.0040,19.8259,554.3035,942.6519,1109.1460
1923.00,0.2464,68.5340,125.1762,19.7587,554.3047,943.1095,1112.5530
1923.08,0.2292,65.2796,123.3635,19.7527,554.3046,943.3634,1116.7672
1923.17,0.2115,62.1616,121.5665,19.7716,554.3051,943.5972,1121.1316
1923.25,0.1963,59.3229,119.8753,19.8131,554.3055,944.1759,1124.5562
1923.33,4.0904,58.9172,118.9169,19.8346,554.3065,944.9398,1126.0881
